name,asian_indian,chinese,filipino,japanese,korean,vietnamese
ADITHYA,1,0,0,0,0,0
ADITI,1,0,0,0,0,0
ADITYA,1,0,0,0,0,0
ADLINE,1,0,0,0,0,0
ADNAN,0.9247138124709313,0,0,0,0.07528618752906871,0
ADO,0,0,0,1,0,0
ADOLF,0.48347498481687445,0.5165250151831255,0,0,0,0
ADOLFO,0,0,1,0,0,0
ADOLPH,1,0,0,0,0,0
ADONIS,0,1,0,0,0,0
ADOOR,1,0,0,0,0,0
ADRIA,0,0,1,0,0,0
ADRIAAN,0,0,0,1,0,0
ADRIAN,0.0905876648869727,0.29034053332999465,0.48511700365079424,0.005610107533155118,0,0.12834469059908327
ADRIANNA,0,0.21174141009284864,0.7075784922960668,0,0.08068009761108444,0
ADRIANO,0,0,0.7677118742233223,0,0.029178891870373362,0.20310923390630425
ADRIEN,0,0.14297962688627766,0.4777965197118682,0,0,0.3792238534018541
ADRIENNE,0.2608512883536911,0,0,0,0,0.739148711646309
ADVAIT,1,0,0,0,0,0
ADYA,1,0,0,0,0,0
AE,0,0,0,0.006716067439332378,0.9932839325606676,0
AEGYEONG,0,0,0,0,1,0
AEJU,0,0,0,0,1,0
AELAY,1,0,0,0,0,0
AENEAS,1,0,0,0,0,0
AENNE,0,1,0,0,0,0
AERA,0,0,0,0,1,0
AERAN,0,0,0,0,1,0
AERI,0,0,0,0.019881155949736502,0.9801188440502635,0
AERON,1,0,0,0,0,0
AESIM,0,0,0,0,1,0
AFAQ,1,0,0,0,0,0
AFFAN,1,0,0,0,0,0
AFONG,0,1,0,0,0,0
AFREEN,1,0,0,0,0,0
AFRIN,1,0,0,0,0,0
AFROZ,1,0,0,0,0,0
AFSANA,1,0,0,0,0,0
AFSAR,1,0,0,0,0,0
AFSHAN,1,0,0,0,0,0
AFSHEEN,1,0,0,0,0,0
AFTAB,1,0,0,0,0,0
AFZAL,1,0,0,0,0,0
AGA,1,0,0,0,0,0
AGAPITO,0,0,1,0,0,0
AGATA,0,0.4426680956588087,0,0.051320749252471425,0.50601115508872,0
AGATHA,0.48347498481687445,0.5165250151831255,0,0,0,0
AGE,0,0,0,0,1,0
AGEHA,0,0,0,1,0,0
AGHA,1,0,0,0,0,0
AGNALDO,0,0,0,0,1,0
AGNELO,1,0,0,0,0,0
AGNES,0.09485431276679898,0.20267698177027071,0.6772877970409299,0.005874341669687939,0.01930656675231249,0
AGNIESZKA,0,0.7240965678462669,0,0,0.2759034321537331,0
AGNIMITRA,1,0,0,0,0,0
AGNIVA,1,0,0,0,0,0
AGOSTINHO,0.48347498481687445,0.5165250151831255,0,0,0,0
AGU,0,0,0,1,0,0
AGUEDA,0,0,1,0,0,0
