name,asian_indian,chinese,filipino,japanese,korean,vietnamese
ACHREKAR,4.24421195594508e-5,0,0,0,0,0
ACHUTHAN,1.485474184580778e-4,0,0,0,0,0
ACLAN,0,0,1.422475106685633e-4,0,0,0
ACOL,0,0,1.422475106685633e-4,0,0,0
ACOSTA,0,2.1151486949532554e-5,5.689900426742532e-4,0,0,0
ACRI,0,0,0,6.225487144369047e-6,0,0
ACTIVE,0,0,0,0,2.9864118261908317e-5,0
ACUNA,0,0,5.689900426742532e-4,0,0,0
ADACHI,0,0,0,0.0013882836331942975,0,0
ADACHIHARA,0,0,0,1.867646143310714e-5,0,0
ADAIR,2.12210597797254e-5,0,0,0,0,0
ADAJANIA,6.366317933917619e-5,0,0,0,0,0
ADAKE,0,2.1151486949532554e-5,0,0,0,0
ADALA,2.12210597797254e-5,0,0,0,0,0
ADALIA,0,0,1.422475106685633e-4,0,0,0
ADAM,1.2732635867835238e-4,0,1.422475106685633e-4,0,0,0
ADAMS,0,2.1151486949532554e-5,4.267425320056899e-4,6.225487144369047e-6,0,0
ADAMSON,2.12210597797254e-5,2.1151486949532554e-5,0,0,0,0
ADAN,0,0,1.422475106685633e-4,6.225487144369047e-6,0,0
ADANI,1.2732635867835238e-4,0,0,0,0,0
ADANIYA,0,0,0,1.867646143310714e-5,0,0
ADAPA,4.24421195594508e-5,0,0,0,0,0
ADAYA,2.12210597797254e-5,0,0,0,0,0
ADDIE,2.12210597797254e-5,0,0,0,0,0
ADDIS,0,0,0,6.225487144369047e-6,0,0
ADDY,2.12210597797254e-5,0,0,0,0,0
ADEA,0,0,1.422475106685633e-4,0,0,0
ADEEB,4.24421195594508e-5,0,0,0,0,0
ADESOPE,0,0,0,0,0,1.7337031900138697e-4
ADHAV,2.12210597797254e-5,0,0,0,0,0
ADHI,2.12210597797254e-5,0,0,0,0,0
ADHIA,2.12210597797254e-5,0,0,0,0,0
ADHIKARI,3.395369564756064e-4,0,0,0,0,0
ADHIKARY,8.48842391189016e-5,0,0,0,0,0
ADI,1.2732635867835238e-4,0,0,0,0,0
ADIB,2.12210597797254e-5,0,1.422475106685633e-4,0,0,0
ADIGA,6.366317933917619e-5,0,0,0,0,0
ADIL,6.366317933917619e-5,6.345446084859767e-5,0,0,0,0
ADILI,0,4.230297389906511e-5,0,0,0,0
ADIVI,4.24421195594508e-5,0,0,0,0,0
ADLAWAN,0,0,1.422475106685633e-4,0,0,0
ADMIRAL,2.12210597797254e-5,0,0,0,0,0
ADNAN,4.24421195594508e-5,0,0,0,0,0
ADOLF,2.12210597797254e-5,0,0,0,0,0
ADOLFO,0,0,1.422475106685633e-4,0,0,0
ADONIS,0,0,1.422475106685633e-4,0,0,0
ADOR,0,0,1.422475106685633e-4,0,0,0
ADRIANO,0,0,1.422475106685633e-4,0,0,0
ADRIATICO,0,0,1.422475106685633e-4,0,0,0
ADUMA,0,0,0,1.867646143310714e-5,0,0
ADUSUMILLI,4.24421195594508e-5,0,0,0,0,0
ADUWA,0,0,0,1.2450974288738094e-5,0,0
ADVANI,1.909895380175286e-4,0,0,0,0,0
ADVIENTO,0,0,1.422475106685633e-4,0,0,0
ADVINCULA,0,0,2.844950213371266e-4,0,0,0
AEBA,0,0,0,1.2450974288738094e-5,0,0
AFABLE,0,0,2.844950213371266e-4,0,0,0
AFONSO,4.24421195594508e-5,0,0,0,0,0
AFRA,0,0,0,6.225487144369047e-6,0,0
AFREEN,2.12210597797254e-5,0,0,0,0,0
AFRICA,0,0,2.844950213371266e-4,0,0,0
AFRIN,2.12210597797254e-5,0,0,0,0,0
AFROZ,2.12210597797254e-5,0,0,0,0,0
AFROZE,2.12210597797254e-5,0,0,0,0,0
AFSAR,4.24421195594508e-5,0,0,0,0,0
AFTAB,2.12210597797254e-5,0,0,0,0,0
AFZA,2.12210597797254e-5,0,0,0,0,0
AFZAL,1.697684782378032e-4,0,0,0,0,0
AGA,6.366317933917619e-5,0,2.844950213371266e-4,6.225487144369047e-6,0,0
AGAMA,0,0,1.422475106685633e-4,6.225487144369047e-6,0,0
AGAN,0,0,1.422475106685633e-4,0,0,0
AGANA,0,0,1.422475106685633e-4,0,0,0
AGAPITO,0,0,1.422475106685633e-4,0,0,0
AGARIE,0,0,0,3.112743572184524e-5,0,0
AGARWAL,0.0040107802983681004,0,0,0,0,0
AGARWALA,1.2732635867835238e-4,0,0,0,0,0
AGASHE,1.697684782378032e-4,0,0,0,0,0
AGASSI,0,0,2.844950213371266e-4,0,0,0
AGATA,0,0,0,8.093133287679762e-5,0,0
AGATSUMA,0,0,0,3.735292286621428e-5,0,0
AGAWA,0,0,0,3.735292286621428e-5,0,0
AGBAYANI,0,0,7.112375533428165e-4,0,0,0
AGCAOILI,0,0,4.267425320056899e-4,0,0,0
AGDAMAG,0,0,1.422475106685633e-4,0,0,0
AGEISHI,0,0,0,1.867646143310714e-5,0,0
AGENA,0,0,0,6.225487144369047e-6,0,0
AGGARWAL,8.912845107484668e-4,0,0,0,0,0
AGHA,1.06105298898627e-4,0,0,0,0,0
AGHAJANI,2.12210597797254e-5,0,0,0,0,0
AGHARKAR,2.12210597797254e-5,0,0,0,0,0
AGI,0,0,0,1.867646143310714e-5,0,0
AGLIPAY,0,0,1.422475106685633e-4,0,0,0
AGNES,2.12210597797254e-5,2.1151486949532554e-5,0,0,0,0
AGNIHOTRI,2.5465271735670476e-4,0,0,0,0,0
AGO,0,0,0,2.4901948577476188e-5,0,0
AGONCILLO,0,0,7.112375533428165e-4,0,0,0
AGPAOA,0,0,1.422475106685633e-4,0,0,0
AGRAVANTE,0,0,1.422475106685633e-4,0,0,0
AGRAWAL,0.0014430320650213272,0,0,0,0,0
AGREGADO,0,0,1.422475106685633e-4,0,0,0
AGUAS,0,0,1.422475106685633e-4,0,0,0
AGUDA,0,0,0,6.225487144369047e-6,0,0
AGUDO,0,0,1.422475106685633e-4,0,0,0
AGUILA,0,0,4.267425320056899e-4,0,0,0
AGUILAR,0,0,0.0015647226173541964,0,0,0
AGUILUZ,0,0,1.422475106685633e-4,0,0,0
AGUINALDO,0,0,0.0011379800853485065,0,0,0
AGUIRRE,0,0,4.267425320056899e-4,0,0,0
AGUS,0,0,1.422475106685633e-4,0,0,0
AGUSTIN,0,0,0.00128022759601707,0,0,0
AH,0,2.1151486949532554e-5,0,0,0,0
AHAMED,1.2732635867835238e-4,0,0,0,0,0
AHER,6.366317933917619e-5,0,0,0,0,0
AHIR,1.06105298898627e-4,0,0,0,0,0
AHIRE,2.12210597797254e-5,0,0,0,0,0
AHLAWAT,8.48842391189016e-5,0,0,0,0,0
AHLUWALIA,3.395369564756064e-4,0,0,0,0,0
AHMAD,0.0024616429344481465,2.1151486949532554e-5,2.844950213371266e-4,0,0,0
AHMADI,2.12210597797254e-5,0,0,0,0,0
AHMED,0.004116885597266728,0,0,0,0,0
AHN,0,0,0,3.112743572184524e-5,0.013259668508287295,0
AHO,0,0,0,0,0,1.7337031900138697e-4
AHRENS,2.12210597797254e-5,0,0,6.225487144369047e-6,0,0
AHRENSDORF,0,0,1.422475106685633e-4,0,0,0
AHSAN,1.2732635867835238e-4,0,0,0,0,0
AHUJA,5.093054347134095e-4,0,0,0,0,0
AI,0,7.403020432336394e-4,0,5.789703044263214e-4,2.9864118261908317e-5,0
AIBA,0,0,0,9.33823071655357e-5,0,0
AIBARA,0,0,0,1.2450974288738094e-5,0,0
AICH,4.24421195594508e-5,0,0,0,0,0
AICHI,0,0,0,3.112743572184524e-5,0,0
AIDA,0,2.1151486949532554e-5,4.267425320056899e-4,4.5446056153894046e-4,0,0
AIDI,0,2.1151486949532554e-5,0,0,0,0
AIGA,0,0,0,1.2450974288738094e-5,0,0
AIGASA,0,0,0,1.2450974288738094e-5,0,0
AIHARA,0,0,0,4.606860486833095e-4,0,0
AIKAWA,0,0,0,5.416173815601071e-4,0,0
AIKO,0,0,0,3.112743572184524e-5,0,0
AIKYO,0,0,0,1.867646143310714e-5,0,0
AILI,0,2.1151486949532554e-5,0,0,0,0
AIMAN,2.12210597797254e-5,0,0,0,0,0
AIMI,0,0,0,8.093133287679762e-5,0,0
AIMOTO,0,0,0,3.735292286621428e-5,0,0
AINA,0,0,0,3.735292286621428e-5,0,0
AIND,4.24421195594508e-5,0,0,0,0,0
AINE,0,0,0,2.4901948577476188e-5,0,0
AINO,0,0,0,3.735292286621428e-5,0,0
AINOURA,0,0,0,1.2450974288738094e-5,0,0
AINSLIE,2.12210597797254e-5,0,0,0,0,0
AIOI,0,0,0,1.867646143310714e-5,0,0
AIRA,0,0,0,3.112743572184524e-5,0,0
AIRES,2.12210597797254e-5,0,0,0,0,0
AISAKA,0,0,0,3.735292286621428e-5,0,0
AISINGIORO,0,8.249079910317696e-4,0,1.2450974288738094e-5,0,0
AISO,0,0,0,1.867646143310714e-5,0,0
AITA,0,0,0,2.4901948577476188e-5,0,0
AITCHISON,2.12210597797254e-5,0,0,0,0,0
AITKEN,2.12210597797254e-5,0,0,0,0,0
AIUCHI,0,0,0,3.112743572184524e-5,0,0
AIURA,0,0,0,1.2450974288738094e-5,0,0
AIYAR,1.06105298898627e-4,0,0,0,0,0
AIYER,2.12210597797254e-5,0,0,0,0,0
AIZAKI,0,0,0,1.2450974288738094e-5,0,0
AIZAWA,0,0,0,7.906368673348689e-4,0,0
AIZOME,0,0,0,1.2450974288738094e-5,0,0
AIZU,0,0,0,2.4901948577476188e-5,0,0
AIZUMI,0,0,0,1.2450974288738094e-5,0,0
AJA,0,0,0,6.225487144369047e-6,0,0
AJAY,3.607580162553318e-4,0,0,0,0,0
AJAZI,2.12210597797254e-5,0,0,0,0,0
AJI,2.12210597797254e-5,0,0,0,0,0
AJIKI,0,0,0,1.867646143310714e-5,0,0
AJIMA,0,0,0,2.4901948577476188e-5,0,0
AJINKYA,2.12210597797254e-5,0,0,0,0,0
AJISAKA,0,0,0,1.867646143310714e-5,0,0
AJITH,6.366317933917619e-5,0,0,0,0,0
AJMAL,1.06105298898627e-4,0,0,0,0,0
AJMANI,2.12210597797254e-5,0,0,0,0,0
AJMERA,4.24421195594508e-5,0,0,0,0,0
AJMERI,2.12210597797254e-5,0,0,0,0,0
AK,2.12210597797254e-5,0,0,1.2450974288738094e-5,0,0
AKA,0,0,0,6.225487144369047e-6,0,0
AKABA,0,0,0,4.9803897154952377e-5,0,0
AKABANE,0,0,0,6.225487144369047e-5,0,0
AKABOSHI,0,0,0,2.4901948577476188e-5,0,0
AKADA,0,0,0,1.867646143310714e-5,0,0
AKAE,0,0,0,1.867646143310714e-5,0,0
AKAGAWA,0,0,0,4.357841001058333e-5,0,0
AKAGI,0,2.1151486949532554e-5,0,3.9220569009525e-4,0,0
AKAHIRA,0,0,0,1.867646143310714e-5,0,0
AKAHO,0,0,0,2.4901948577476188e-5,0,0
AKAHORI,0,0,0,5.602938429932142e-5,0,0
AKAHOSHI,0,0,0,1.058332814542738e-4,0,0
AKAI,0,0,0,1.6186266575359524e-4,0,0
AKAIKE,0,0,0,3.112743572184524e-5,0,0
AKAISHI,0,0,0,4.357841001058333e-5,0,0
AKAIWA,0,0,0,1.2450974288738094e-5,0,0
AKAJI,0,0,0,1.867646143310714e-5,0,0
AKAMA,0,0,0,7.470584573242856e-5,0,0
AKAMATSU,0,0,0,3.174998443628214e-4,0,0
AKAMINE,0,0,0,6.225487144369047e-5,0,0
AKANA,0,0,0,1.2450974288738094e-5,0,0
AKANE,0,0,0,6.225487144369047e-5,0,0
AKANEYA,0,0,0,1.867646143310714e-5,0,0
AKANO,0,0,0,2.4901948577476188e-5,0,0
AKANUMA,0,0,0,2.4901948577476188e-5,0,0
AKAO,0,0,0,1.182842557430119e-4,0,0
AKAOKA,0,0,0,1.2450974288738094e-5,0,0
AKARI,0,0,0,1.9299010147544047e-4,0,0
AKASAKA,0,0,0,1.867646143310714e-4,0,0
AKASAKI,0,0,0,4.357841001058333e-5,0,0
AKASE,0,0,0,3.112743572184524e-5,0,0
AKASHI,0,0,0,3.237253315071905e-4,0,0
AKASOFU,0,0,0,1.2450974288738094e-5,0,0
AKATA,0,0,0,1.2450974288738094e-5,0,0
AKATSUKA,0,2.1151486949532554e-5,0,8.715682002116666e-5,0,0
AKATSUKI,0,0,0,1.867646143310714e-5,0,0
AKAZA,0,0,0,1.2450974288738094e-5,0,0
AKAZAWA,0,0,0,1.4318620432048808e-4,0,0
AKBAR,2.970948369161556e-4,0,2.844950213371266e-4,0,0,0
AKECHI,0,0,0,1.867646143310714e-5,0,0
AKEHI,0,0,0,1.2450974288738094e-5,0,0
AKEMI,0,0,0,1.2450974288738094e-5,0,0
AKEO,0,0,0,6.225487144369047e-6,0,0
AKETAGAWA,0,0,0,2.4901948577476188e-5,0,0
AKHAND,2.12210597797254e-5,0,0,0,0,0
AKHTAR,7.851792118498399e-4,0,0,0,0,0
AKHTER,4.24421195594508e-5,0,0,0,0,0
AKI,0,0,0,3.6730374151777375e-4,0,0
AKIBA,0,0,0,2.8637240864097616e-4,0,0
AKIHO,0,0,0,1.867646143310714e-5,0,0
AKIKAWA,0,0,0,1.867646143310714e-5,0,0
AKIKUSA,0,0,0,1.867646143310714e-5,0,0
AKIMA,0,0,0,2.4901948577476188e-5,0,0
AKIMITSU,0,0,0,2.4901948577476188e-5,0,0
AKIMOTO,0,0,0,6.66127124447488e-4,0,0
AKIMURA,0,0,0,1.867646143310714e-5,0,0
AKINA,0,0,0,6.225487144369047e-5,0,0
AKINAGA,0,0,0,1.2450974288738094e-5,0,0
AKINO,0,0,0,1.3696071717611905e-4,2.9864118261908317e-5,0
AKINS,0,0,0,0,2.9864118261908317e-5,0
AKIOKA,0,0,0,2.4901948577476188e-5,0,0
AKIRA,0,0,0,1.867646143310714e-5,0,0
AKISADA,0,0,0,1.2450974288738094e-5,0,0
AKITA,0,0,0,3.174998443628214e-4,0,0
AKITANI,0,0,0,1.2450974288738094e-5,0,0
AKITSU,0,0,0,1.2450974288738094e-5,0,0
AKIYA,0,0,0,3.112743572184524e-5,0,0
AKIYAMA,0,0,0,0.0014256365560605117,0,0
AKIYOSHI,0,2.1151486949532554e-5,0,1.6808815289796428e-4,0,0
AKIZUKI,0,0,0,8.715682002116666e-5,0,0
AKKARA,4.24421195594508e-5,0,0,0,0,0
AKKINENI,1.2732635867835238e-4,0,0,0,0,0
AKKIRAJU,2.12210597797254e-5,0,0,0,0,0
AKO,0,0,0,8.715682002116666e-5,0,0
AKONG,0,2.1151486949532554e-5,1.422475106685633e-4,0,0,0
AKOPOV,0,2.1151486949532554e-5,0,0,0,0
AKRAM,6.366317933917619e-5,0,0,0,0,0
AKU,0,0,0,1.2450974288738094e-5,0,0
AKUA,0,0,0,6.225487144369047e-6,0,0
AKUI,0,0,0,6.225487144369047e-6,0,0
AKULA,1.06105298898627e-4,0,0,0,0,0
AKUNE,0,0,0,1.867646143310714e-5,0,0
AKUTA,0,0,0,1.2450974288738094e-5,0,0
AKUTAGAWA,0,0,0,9.33823071655357e-5,0,0
AKUTO,0,0,0,1.867646143310714e-5,0,0
AKUTSU,0,0,0,1.5563717860922615e-4,0,0
AKUZAWA,0,0,0,1.2450974288738094e-5,0,0
AL,1.697684782378032e-4,0,2.844950213371266e-4,1.2450974288738094e-5,0,0
ALA,2.12210597797254e-5,0,0,0,0,0
ALAGAPPAN,2.12210597797254e-5,0,0,0,0,0
ALAI,0,2.1151486949532554e-5,0,0,0,0
ALAK,0,2.1151486949532554e-5,0,0,0,0
ALAM,6.578528531714873e-4,0,0,0,2.9864118261908317e-5,0
ALANES,0,0,1.422475106685633e-4,0,0,0
ALANO,0,0,4.267425320056899e-4,0,0,0
ALAPATI,4.24421195594508e-5,0,0,0,0,0
ALAPATT,2.12210597797254e-5,0,0,0,0,0
ALARCON,0,0,4.267425320056899e-4,0,0,0
ALAS,0,0,2.844950213371266e-4,0,0,0
ALAVI,4.24421195594508e-5,0,0,0,0,0
ALAWI,0,0,2.844950213371266e-4,0,0,0
ALAYA,2.12210597797254e-5,0,0,0,0,0
ALBA,0,0,5.689900426742532e-4,0,0,0
ALBAN,4.24421195594508e-5,0,0,0,0,0
ALBANI,0,0,1.422475106685633e-4,0,0,0
ALBANO,2.12210597797254e-5,0,4.267425320056899e-4,0,0,0
ALBERO,0,0,1.422475106685633e-4,0,0,0
ALBERT,0,0,5.689900426742532e-4,0,0,0
ALBERTO,0,2.1151486949532554e-5,4.267425320056899e-4,0,0,0
ALBINO,0,0,1.422475106685633e-4,0,0,0
ALBO,0,0,1.422475106685633e-4,0,0,0
ALBONE,0,2.1151486949532554e-5,0,0,0,0
ALBRECHT,0,0,0,6.225487144369047e-6,0,0
ALBUQUERQUE,2.12210597797254e-5,0,0,0,0,0
ALCALA,0,0,9.957325746799432e-4,0,0,0
ALCANTARA,0,0,7.112375533428165e-4,0,0,0
ALCARAZ,0,0,2.844950213371266e-4,0,0,0
ALCASID,0,0,2.844950213371266e-4,0,0,0
ALCAZAREN,0,0,1.422475106685633e-4,0,0,0
ALCOCK,2.12210597797254e-5,0,0,0,0,0
ALDANA,0,0,1.422475106685633e-4,0,0,0
ALDAS,2.12210597797254e-5,0,0,0,0,0
ALDEA,0,0,1.422475106685633e-4,0,0,0
ALDECOA,0,0,1.422475106685633e-4,0,0,0
ALDIS,2.12210597797254e-5,0,0,0,0,0
ALDO,0,0,1.422475106685633e-4,0,0,0
ALDRIDGE,2.12210597797254e-5,0,0,0,0,0
ALE,2.12210597797254e-5,0,0,0,0,0
ALECK,0,0,1.422475106685633e-4,0,0,0
ALEE,0,0,0,6.225487144369047e-6,0,0
ALEEM,4.24421195594508e-5,0,0,0,0,0
ALEGRE,0,0,8.534850640113798e-4,0,0,0
ALEJANDRINO,0,0,2.844950213371266e-4,0,0,0
ALEJANDRO,0,0,8.534850640113798e-4,0,0,0
ALEJO,0,0,5.689900426742532e-4,0,0,0
ALEMAO,4.24421195594508e-5,0,0,0,0,0
ALESNA,0,0,1.422475106685633e-4,0,0,0
ALEX,6.366317933917619e-5,0,2.844950213371266e-4,0,0,0
ALEXA,0,0,0,6.225487144369047e-6,0,0
ALEXANDER,3.18315896695881e-4,4.230297389906511e-5,1.422475106685633e-4,1.867646143310714e-5,0,0
ALEXANDRA,0,0,0,0,0,1.7337031900138697e-4
ALEXANDRE,0,0,0,6.225487144369047e-6,0,0
ALEXIS,0,0,0,6.225487144369047e-6,0,0
