name,asian_indian,chinese,filipino,japanese,korean,vietnamese
ADOR,0,0,1,0,0,0
ADRIANO,0,0,1,0,0,0
ADRIATICO,0,0,1,0,0,0
ADUMA,0,0,0,1,0,0
ADUSUMILLI,1,0,0,0,0,0
ADUWA,0,0,0,1,0,0
ADVANI,1,0,0,0,0,0
ADVIENTO,0,0,1,0,0,0
ADVINCULA,0,0,1,0,0,0
AEBA,0,0,0,1,0,0
AFABLE,0,0,1,0,0,0
AFONSO,1,0,0,0,0,0
AFRA,0,0,0,1,0,0
AFREEN,1,0,0,0,0,0
AFRICA,0,0,1,0,0,0
AFRIN,1,0,0,0,0,0
AFROZ,1,0,0,0,0,0
AFROZE,1,0,0,0,0,0
AFSAR,1,0,0,0,0,0
AFTAB,1,0,0,0,0,0
AFZA,1,0,0,0,0,0
AFZAL,1,0,0,0,0,0
AGA,0.2454257816724411,0,0.7504201123917883,0.004154105935770547,0,0
AGAMA,0,0,0.989049819802618,0.010950180197381941,0,0
AGAN,0,0,1,0,0,0
AGANA,0,0,1,0,0,0
AGAPITO,0,0,1,0,0,0
AGARIE,0,0,0,1,0,0
AGARWAL,1,0,0,0,0,0
AGARWALA,1,0,0,0,0,0
AGASHE,1,0,0,0,0,0
AGASSI,0,0,1,0,0,0
AGATA,0,0,0,1,0,0
AGATSUMA,0,0,0,1,0,0
AGAWA,0,0,0,1,0,0
AGBAYANI,0,0,1,0,0,0
AGCAOILI,0,0,1,0,0,0
AGDAMAG,0,0,1,0,0,0
AGEISHI,0,0,0,1,0,0
AGENA,0,0,0,1,0,0
AGGARWAL,1,0,0,0,0,0
AGHA,1,0,0,0,0,0
AGHAJANI,1,0,0,0,0,0
AGHARKAR,1,0,0,0,0,0
AGI,0,0,0,1,0,0
AGLIPAY,0,0,1,0,0,0
AGNES,0.5055079102021306,0.4944920897978694,0,0,0,0
AGNIHOTRI,1,0,0,0,0,0
AGO,0,0,0,1,0,0
AGONCILLO,0,0,1,0,0,0
AGPAOA,0,0,1,0,0,0
AGRAVANTE,0,0,1,0,0,0
AGRAWAL,1,0,0,0,0,0
AGREGADO,0,0,1,0,0,0
AGUAS,0,0,1,0,0,0
AGUDA,0,0,0,1,0,0
AGUDO,0,0,1,0,0,0
AGUILA,0,0,1,0,0,0
AGUILAR,0,0,1,0,0,0
AGUILUZ,0,0,1,0,0,0
AGUINALDO,0,0,1,0,0,0
AGUIRRE,0,0,1,0,0,0
AGUS,0,0,1,0,0,0
AGUSTIN,0,0,1,0,0,0
AH,0,1,0,0,0,0
AHAMED,1,0,0,0,0,0
AHER,1,0,0,0,0,0
AHIR,1,0,0,0,0,0
AHIRE,1,0,0,0,0,0
AHLAWAT,1,0,0,0,0,0
AHLUWALIA,1,0,0,0,0,0
AHMAD,0.9195323231772216,0.0077542608026064455,0.07271341602017203,0,0,0
AHMADI,1,0,0,0,0,0
AHMED,1,0,0,0,0,0
AHN,0,0,0,0.0011992998814767675,0.9988007001185233,0
AHO,0,0,0,0,0,1
AHRENS,0.9516754831554759,0,0,0.048324516844524185,0,0
AHRENSDORF,0,0,1,0,0,0
AHSAN,1,0,0,0,0,0
AHUJA,1,0,0,0,0,0
AI,0,0.8681755559272232,0,0.11974839588234784,0.012076048190428961,0
AIBA,0,0,0,1,0,0
AIBARA,0,0,0,1,0,0
AICH,1,0,0,0,0,0
AICHI,0,0,0,1,0,0
AIDA,0,0.05303568782996669,0.7459910360121147,0.20097327615791866,0,0
AIDI,0,1,0,0,0,0
AIGA,0,0,0,1,0,0
AIGASA,0,0,0,1,0,0
AIHARA,0,0,0,1,0,0
AIKAWA,0,0,0,1,0,0
AIKO,0,0,0,1,0,0
AIKYO,0,0,0,1,0,0
AILI,0,1,0,0,0,0
AIMAN,1,0,0,0,0,0
AIMI,0,0,0,1,0,0
AIMOTO,0,0,0,1,0,0
AINA,0,0,0,1,0,0
AIND,1,0,0,0,0,0
AINE,0,0,0,1,0,0
AINO,0,0,0,1,0,0
AINOURA,0,0,0,1,0,0
AINSLIE,1,0,0,0,0,0
AIOI,0,0,0,1,0,0
AIRA,0,0,0,1,0,0
AIRES,1,0,0,0,0,0
AISAKA,0,0,0,1,0,0
AISINGIORO,0,0.9973450394823619,0,0.00265496051763816,0,0
AISO,0,0,0,1,0,0
AITA,0,0,0,1,0,0
AITCHISON,1,0,0,0,0,0
AITKEN,1,0,0,0,0,0
AIUCHI,0,0,0,1,0,0
AIURA,0,0,0,1,0,0
AIYAR,1,0,0,0,0,0
AIYER,1,0,0,0,0,0
AIZAKI,0,0,0,1,0,0
AIZAWA,0,0,0,1,0,0
AIZOME,0,0,0,1,0,0
AIZU,0,0,0,1,0,0
AIZUMI,0,0,0,1,0,0
AJA,0,0,0,1,0,0
