GEOID,asian_indian,chinese,filipino,japanese,korean,vietnamese
01247,1.1013314408788075e-5,1.5138605762794133e-5,0,0,6.099445357102194e-6,5.85920126303073e-6
01254,0,1.6557850053056082e-6,0,3.9758111648729136e-6,0,0
01255,0,0,0,7.951622329745827e-6,0,0
01262,6.883321505492547e-7,0,1.2244502303496996e-5,0,0,0
01266,1.1472202509154245e-6,1.6557850053056082e-6,0,0,0,0
01267,1.881441211501296e-5,3.4771485111417775e-5,1.3605002559441107e-6,0,5.692815666628714e-5,1.2251057186336982e-5
01270,0,1.6557850053056082e-6,0,0,0,0
01301,3.212216702563188e-6,2.223482721410388e-5,7.142626343706581e-6,3.8432841260438163e-5,0,2.183884107129636e-5
01330,0,1.4192442902619499e-6,0,0,0,0
01331,6.194989354943292e-6,4.967355015916825e-6,0,1.4577974271200682e-5,0,8.522474564408335e-6
01337,4.818325053844783e-6,0,0,0,0,0
01339,0,2.3654071504365834e-6,5.442001023776443e-6,0,0,5.326546602755209e-7
01340,0,0,0,5.301081553163884e-6,4.744013055523929e-6,0
01341,0,0,0,0,2.7108646031565306e-6,0
01342,0,0,0,0,0,2.1306186411020837e-6
01346,0,2.128866435392925e-6,0,0,0,0
01349,0,0,5.101875959790415e-6,0,0,0
01354,2.2944405018308487e-7,2.1525205068972906e-5,0,1.1927433494618739e-5,0,0
01355,0,0,0,0,6.777161507891327e-6,0
01360,0,2.3654071504365833e-7,0,0,0,0
01364,0,0,0,0,0,1.171840252606146e-5
01366,4.5888810036616974e-7,0,1.0203751919580829e-6,0,0,3.728582621928647e-6
01367,0,0,6.802501279720553e-7,0,0,0
01368,0,0,0,0,1.3554323015782653e-6,0
01370,9.177762007323395e-7,1.1827035752182917e-6,3.061125575874249e-6,2.783067815411039e-5,2.7108646031565306e-6,3.728582621928647e-6
01373,0,0,0,0,6.777161507891327e-7,0
01375,4.198826118350453e-5,4.210424727777118e-5,0,0,0,0
01376,0,0,0,0,4.066296904734796e-6,0
01378,0,9.461628601746333e-7,0,3.9758111648729136e-6,0,0
01379,0,0,4.4216258318183596e-6,6.626351941454856e-6,0,0
01420,2.9827726523801034e-5,4.021192155742192e-6,2.9931005630770435e-5,1.0602163106327768e-5,2.1686916825252245e-5,4.5808300783694805e-5
01430,8.030541756407972e-6,2.3654071504365833e-7,6.122251151748498e-6,0,0,0
01431,2.5238845520139337e-6,0,0,0,0,0
01432,1.1242758458971159e-5,5.676977161047799e-6,0,2.1204326212655537e-5,1.016574226183699e-5,1.4381675827439066e-5
01434,0,3.808305512202899e-5,3.4012506398602764e-6,0,3.3885807539456636e-6,0
01440,3.326938727654731e-5,3.075029295567558e-6,2.2448254223077827e-5,0,5.082871130918495e-5,3.0361315635704693e-5
01450,8.168208186517822e-5,1.8213635058361692e-5,2.7210005118882213e-6,0,1.0843458412626122e-5,1.0653093205510419e-5
01451,1.789663591428062e-5,1.9632879348623642e-5,0,2.6505407765819423e-5,0,0
01452,2.5009401469956252e-5,0,0,0,0,0
01453,3.418716347727965e-5,4.470619514325142e-5,3.367238133461674e-5,1.1794906455789643e-4,1.4570897241966352e-4,7.457165243857294e-5
01460,8.328819021645982e-5,5.535052732021605e-5,1.59858780073433e-5,0,0,0
01462,1.1931090609520414e-5,4.494273585829508e-6,0,1.3252703882909711e-5,1.8976052222095716e-5,0
01463,2.4091625269223913e-5,6.150058591135116e-6,0,6.626351941454856e-6,2.3042349126830512e-4,2.5034769032949485e-5
01464,1.6061083512815943e-5,5.676977161047799e-6,0,0,2.1686916825252245e-5,0
01468,0,0,1.904700358321755e-5,2.1204326212655537e-5,0,0
01469,5.047769104027867e-6,0,0,0,4.744013055523929e-6,1.0599827739482868e-4
01473,3.900548853112443e-6,0,0,0,1.1521174563415255e-5,1.0120438545234898e-5
01475,0,4.021192155742192e-6,1.7006253199301382e-6,0,0,0
01501,2.684495387142093e-5,5.913517876091458e-6,0,0,1.2876606864993521e-5,1.2783711846612501e-4
