GEOID,asian_indian,chinese,filipino,japanese,korean,vietnamese
17099,8.328819021645982e-5,1.8923033400100104e-5,1.0101631940747976e-4,9.27670830583452e-5,1.558747146815005e-5,0
17101,0,1.3246123380070071e-5,0,0,0,5.85920126303073e-6
17103,1.2619422760069669e-5,4.494220432523774e-6,2.0067214966469043e-5,3.4456345135956785e-5,2.3720065277619644e-5,1.0653093205510419e-6
17105,1.1472202509154245e-6,4.967296267526277e-6,3.6052962482130826e-5,1.3252440436906457e-6,0,0
17107,0,7.096137525037538e-6,1.224440235242179e-5,0,2.7108646031565306e-6,0
17109,5.5984348244672714e-5,4.1157597645217724e-5,4.6596753396716255e-5,1.0601952349525166e-5,4.676241440445016e-5,0
17111,4.3594369534786126e-4,2.0649760197859237e-4,9.258128667581142e-4,1.855341661166904e-4,7.522649273759373e-4,3.7285826219286464e-4
17113,0.0011543330164711,2.923608660315466e-4,2.217597314938613e-4,3.5914113584016496e-4,2.6227615035539435e-4,1.880270950772589e-4
17115,8.145263781499513e-5,3.524414970768644e-5,1.0645827600855611e-4,5.566024983500712e-5,8.200365424548505e-5,9.321456554821616e-5
17117,0,2.1051874657611365e-5,8.162934901614526e-6,0,6.099445357102194e-5,1.0653093205510419e-6
17119,1.0256149043183893e-4,1.4239582633575326e-4,1.4591246136635966e-4,1.5902928524287748e-4,1.7281761845122884e-4,1.7204745526899326e-4
17121,8.489429856774141e-6,1.2299971710065067e-5,2.1767826404305403e-5,0,3.998525289655883e-5,5.3265466027552095e-6
17123,2.2944405018308487e-7,3.548068762518769e-6,1.7006114378363596e-6,0,0,0
17125,0,0,1.3604891502690877e-5,0,0,0
17127,0,7.096137525037539e-7,3.4012228756727193e-7,0,2.507549757919791e-5,0
17129,0,2.6019170925137642e-6,1.0883913202152702e-5,5.300976174762583e-6,0,0
17131,6.883321505492547e-7,0,8.162934901614526e-6,0,1.8298336071306583e-5,9.055129224683856e-6
17133,1.606108351281594e-6,6.149985855032533e-6,1.4285136077825421e-5,0,2.846407833314357e-5,3.0361315635704693e-5
17135,1.881441211501296e-5,4.730758350025026e-6,4.421589738374535e-6,0,6.777161507891327e-7,0
17137,7.801097706224886e-6,7.096137525037538e-6,5.101834313509079e-5,0,1.016574226183699e-5,0
17139,0,4.967296267526277e-6,0,0,0,0
17141,1.1472202509154245e-6,2.034226090510761e-5,1.2584524639989062e-5,2.2529148742740974e-5,4.8795562856817554e-5,1.757760378909219e-5
17143,8.500902059283295e-4,3.413242149543056e-4,2.6733611802787574e-4,3.299857668789708e-4,2.568544211490813e-4,4.016216138477428e-4
17145,1.8126079964463706e-5,6.859599607536287e-6,3.4012228756727193e-7,1.0601952349525166e-5,1.3554323015782653e-6,5.3265466027552095e-6
17147,0,1.1826895875062565e-6,0,1.3252440436906457e-6,4.066296904734796e-6,0
17149,2.064996451647764e-6,1.4192275050075077e-6,7.4826903264799825e-6,0,0,3.728582621928647e-6
17151,0,0,0,1.3252440436906457e-6,0,0
17153,0,0,3.0611005881054474e-6,0,0,0
17155,2.5238845520139337e-6,3.7846066800200207e-6,1.7006114378363596e-6,1.192719639321581e-5,0,0
17157,4.0611596882406024e-5,0,5.101834313509079e-6,2.2529148742740974e-5,0,0
17159,0,4.021144597521272e-6,4.761712025941807e-6,2.120390469905033e-5,0,0
17161,2.214135084266769e-4,6.59940789828491e-5,1.1836255607341063e-4,1.7228172567978392e-5,1.0436828722152643e-4,6.018997661113387e-5
